Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-03-03),Price Override,Watchlist,Date Added,Notes
OzoneTCG,Pokemon,Alternate Art Promos,M Lucario EX ,55a,Promo,Holofoil,Ungraded,Lightly Played,0.0000,1,53.58,0,false,2026-03-01,
OzoneTCG,Pokemon,Alternate Art Promos,M Manectric EX ,24a,Promo,Holofoil,Ungraded,Near Mint,0.0000,1,15.04,0,false,2026-03-01,
OzoneTCG,Pokemon,Alternate Art Promos,Togepi & Cleffa & Igglybuff GX ,143a/236,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,567.74,0,false,2026-03-02,
OzoneTCG,Pokemon,Ascended Heroes,Mega Dragonite ex ,271/217,Mega Attack Rare,Holofoil,Ungraded,Near Mint,0.0000,1,49.16,0,false,2026-03-01,
OzoneTCG,Pokemon,Ascended Heroes,Mega Froslass ex ,265/217,Mega Attack Rare,Holofoil,Ungraded,Near Mint,0.0000,1,16.18,0,false,2026-03-01,
OzoneTCG,Pokemon,Astral Radiance Trainer Gallery,Galarian Articuno V ,TG16/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,11.15,0,false,2026-03-01,
OzoneTCG,Pokemon,Astral Radiance Trainer Gallery,Garchomp V ,TG23/TG30,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,187.23,0,false,2026-03-01,
OzoneTCG,Pokemon,Base Set (Japanese),Charizard (JP),006,Rare,Holofoil,Ungraded,Moderately Played,0.0000,1,167.38,0,false,2026-03-01,
OzoneTCG,Pokemon,Base Set (Unlimited),Alakazam ,1,Holo Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,50.97,0,false,2026-03-01,
OzoneTCG,Pokemon,Battle Styles,Rapid Strike Urshifu VMAX (Alternate Art Secret) ,170/163,Secret Rare,Holofoil,Ungraded,Near Mint,0.0000,1,71.15,0,false,2026-03-01,
OzoneTCG,Pokemon,Battle Styles,Tyranitar V (Alternate Full Art) ,155/163,Ultra Rare,Holofoil,PSA 9.0 MINT,Near Mint,0.0000,1,227.48,0,false,2026-03-01,
OzoneTCG,Pokemon,Black and White Promos,Flareon ,BW88,Holo Rare,Holofoil,Ungraded,Near Mint,0.0000,1,43.53,0,false,2026-03-01,
OzoneTCG,Pokemon,Black Bolt,Kyurem ex ,165/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,65.76,0,false,2026-03-01,
OzoneTCG,Pokemon,Black Bolt,Solosis ,118/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,26.94,0,false,2026-03-01,
OzoneTCG,Pokemon,BREAKthrough,Mewtwo EX (164 Secret Full Art) ,164,Secret Rare,Holofoil,Ungraded,Lightly Played,0.0000,1,115.63,0,true,2026-03-01,
OzoneTCG,Pokemon,Brilliant Stars,Charizard V (Alternate Full Art) ,154/172,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,681.39,0,false,2026-03-01,
OzoneTCG,Pokemon,Brilliant Stars,Charizard V (Alternate Full Art) ,154/172,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,235.42,0,false,2026-03-01,
OzoneTCG,Pokemon,Brilliant Stars Trainer Gallery,Umbreon V ,TG22/TG30,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,153.33,0,false,2026-03-01,
OzoneTCG,Pokemon,Brilliant Stars Trainer Gallery,Umbreon V ,TG22/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,49.9,0,false,2026-03-01,
OzoneTCG,Pokemon,Call of Legends,Suicune (Shiny) ,SL11,Shiny Holo Rare,Holofoil,Ungraded,Heavily Played,0.0000,1,217.5,0,false,2026-03-01,
OzoneTCG,Pokemon,Celebrations: Classic Collection,Mew ex ,88/92,Classic Collection,Holofoil,Ungraded,Near Mint,0.0000,1,17.68,0,false,2026-03-01,
OzoneTCG,Pokemon,Celebrations: Classic Collection,Shining Magikarp ,66/64,Classic Collection,Holofoil,PSA 10.0 GEM - MT,Near Mint,0.0000,1,143.1,0,false,2026-03-01,
OzoneTCG,Pokemon,Celebrations: Classic Collection,______'s Pikachu ,24/53,Classic Collection,Holofoil,Ungraded,Near Mint,0.0000,1,34.27,0,false,2026-03-01,
OzoneTCG,Pokemon,Celebrations: Classic Collection,Umbreon Gold Star ,17/17,Classic Collection,Holofoil,Ungraded,Near Mint,0.0000,1,81.23,0,false,2026-03-01,
OzoneTCG,Pokemon,Cosmic Eclipse,Blastoise & Piplup GX ,38/236,Ultra Rare,Holofoil,PSA 9.0 MINT,Near Mint,0.0000,1,68.69,0,false,2026-03-01,
OzoneTCG,Pokemon,Cosmic Eclipse,Reshiram & Zekrom GX (Full Art) ,222/236,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,430.29,0,false,2026-03-01,
